route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type2_id,valid_from,valid_until
7,3,"7","","KLECINA - Wałbrzyska - Przyjaźni - Karkonoska - Powstańców Śl. - pl. Powstańców Śląskich - Powstańców Śl. - Świdnicka - pl. Teatralny - Widok - Szewska - Drobnera - Chrobrego - pl. Powstańców Wielkopolskich - Trzebnicka - Żmigrodzka - POŚWIĘTNE|POŚWIĘTNE - Trzebnicka - pl. Powstańców Wielkopolskich - pl. Staszica - Dubois - Jagiełły - Podwale - Kazimierza Wlk. - Krupnicza - Podwale - Świdnicka - Powstańców Śl. - Karkonoska - Przyjaźni - Wałbrzyska - KLECINA|POŚWIĘTNE - Żmigrodzka - Trzebnicka - pl. Powstańców Wielkopolskich - pl. Staszica - Dubois - Jagiełły - Podwale - Kazimierza Wlk. - Krupnicza - Podwale - Świdnicka - Powstańców Śl. - Karkonoska - Przyjaźni - Wałbrzyska - KLECINA",0,31,"2021-04-02","2999-01-01"
8,3,"8","","TARNOGAJ - Tarnogajska - al. Armii Krajowej - Bardzka - Hubska - Gliniana - Borowska - Peronowa - Kołłątaja - Bł. Czesława - Św. Katarzyny - Piaskowa - Bema - Poniatowskiego - Słowiańska - pl. Powstańców Wielkopolskich - Trzebnicka - Żmigrodzka - KARŁOWICE|KARŁOWICE - Trzebnicka - pl. Powstańców Wielkopolskich - Słowiańska - Poniatowskiego - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Skargi - Kołłątaja - Peronowa - Borowska - Gliniana - Hubska - Bardzka - al. Armii Krajowej - Tarnogajska - TARNOGAJ",0,31,"2021-04-02","2999-01-01"
9,3,"9","","SĘPOLNO - Mickiewicza - al. Paderewskiego - al. Różyckiego - al. Kochanowskiego - Grunwaldzka - Sienkiewicza - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Skargi - Kołłątaja - Peronowa - Borowska - Ślężna - PARK POŁUDNIOWY|PARK POŁUDNIOWY - Borowska - Peronowa - Kołłątaja - Bł. Czesława - Św. Katarzyny - Piaskowa - Sienkiewicza - al. Kochanowskiego - al. Różyckiego - al. Paderewskiego - Mickiewicza - SĘPOLNO|PARK POŁUDNIOWY - Ślężna - Borowska - Peronowa - Kołłątaja - Bł. Czesława - Św. Katarzyny - Piaskowa - Sienkiewicza - al. Kochanowskiego - al. Różyckiego - al. Paderewskiego - Mickiewicza - SĘPOLNO",0,31,"2021-04-02","2999-01-01"
10,3,"10","","LEŚNICA - Średzka - Kosmonautów - Lotnicza - Legnicka - Kazimierza Wlk. - Oławska - pl. Powstańców Warszawy - Wyszyńskiego - Szczytnicka - Rondo Reagana - Curie-Skłodowskiej - Wróblewskiego - ZAJEZDNIA DĄBIE (CZASOPRZESTRZEŃ)|TRAMWAJOWA - Curie-Skłodowskiej - Rondo Reagana - Curie-Skłodowskiej - Wyszyńskiego - pl. Powstańców Warszawy - Oławska - Kazimierza Wlk. - Legnicka - Lotnicza - Kosmonautów - Średzka - LEŚNICA|TRAMWAJOWA - Wróblewskiego - Curie-Skłodowskiej - Rondo Reagana - Curie-Skłodowskiej - Wyszyńskiego - pl. Powstańców Warszawy - Oławska - Kazimierza Wlk. - Legnicka - Lotnicza - Kosmonautów - Średzka - LEŚNICA",0,31,"2021-04-02","2999-01-01"
11,3,"11","","KROMERA - Toruńska - Jedności Narodowej - Poniatowskiego - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Skargi - Kołłątaja - Piłsudskiego - Grabiszyńska - GRABISZYŃSKA (CMENTARZ)|GRABISZYŃSKA (CMENTARZ) - Piłsudskiego - Kołłątaja - Bł. Czesława - Św. Katarzyny - Piaskowa - Bema - Poniatowskiego - Jedności Narodowej - Toruńska - KROMERA|GRABISZYŃSKA (CMENTARZ) - Grabiszyńska - Piłsudskiego - Kołłątaja - Bł. Czesława - Św. Katarzyny - Piaskowa - Bema - Poniatowskiego - Jedności Narodowej - Toruńska - KROMERA",0,31,"2021-04-02","2999-01-01"
15,3,"15","","PARK POŁUDNIOWY - Ślężna - Borowska - Stawowa - Piłsudskiego - Podwale - Jagiełły - Dubois - Pomorska - Reymonta - Bałtycka - Żmigrodzka - POŚWIĘTNE|POŚWIĘTNE - Bałtycka - Reymonta - Pomorska - Dubois - Jagiełły - Podwale - Piłsudskiego - Borowska - Ślężna - PARK POŁUDNIOWY|POŚWIĘTNE - Żmigrodzka - Bałtycka - Reymonta - Pomorska - Dubois - Jagiełły - Podwale - Piłsudskiego - Borowska - Ślężna - PARK POŁUDNIOWY",0,31,"2021-04-02","2999-01-01"
16,3,"16","","TARNOGAJ - Tarnogajska - al. Armii Krajowej - Bardzka - Hubska - Pułaskiego - Traugutta - pl. Powstańców Warszawy - pl. Grunwaldzki - Rondo Reagana - Curie-Skłodowskiej - Wróblewskiego - ZOO|ZOO - Curie-Skłodowskiej - Rondo Reagana - pl. Grunwaldzki - pl. Powstańców Warszawy - Traugutta - Pułaskiego - Hubska - Bardzka - al. Armii Krajowej - Tarnogajska - TARNOGAJ",0,31,"2021-04-02","2999-01-01"
17,3,"17","","KLECINA - Wałbrzyska - Przyjaźni - Karkonoska - Powstańców Śl. - pl. Powstańców Śląskich - Powstańców Śl. - Świdnicka - pl. Teatralny - Teatralna - Bł. Czesława - Św. Katarzyny - Piaskowa - Sienkiewicza - al. Kochanowskiego - al. Różyckiego - al. Paderewskiego - Mickiewicza - SĘPOLNO|SĘPOLNO - al. Paderewskiego - al. Różyckiego - al. Kochanowskiego - Grunwaldzka - Sienkiewicza - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Teatralna - pl. Teatralny - Świdnicka - Powstańców Śl. - Karkonoska - Przyjaźni - Wałbrzyska - KLECINA",0,31,"2021-04-02","2999-01-01"
20,3,"20","","LEŚNICA - Średzka - Kosmonautów - Lotnicza - Legnicka - Kazimierza Wlk. - Krupnicza - Podwale - Świdnicka - Powstańców Śl. - al. Hallera - Grabiszyńska - OPORÓW|OPORÓW - al. Hallera - Powstańców Śl. - pl. Powstańców Śląskich - Powstańców Śl. - Świdnicka - Krupnicza - Kazimierza Wlk. - Legnicka - Lotnicza - Kosmonautów - Średzka - LEŚNICA",0,31,"2021-04-02","2999-01-01"
23,3,"23","","PILCZYCE - Lotnicza - Legnicka - Kazimierza Wlk. - Bł. Czesława - Św. Katarzyny - Piaskowa - Bema - Poniatowskiego - Jedności Narodowej - Toruńska - KROMERA|KROMERA - Jedności Narodowej - Poniatowskiego - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Kazimierza Wlk. - Legnicka - Lotnicza - PILCZYCE|KROMERA - Toruńska - Jedności Narodowej - Poniatowskiego - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Kazimierza Wlk. - Legnicka - Lotnicza - PILCZYCE",0,31,"2021-04-02","2999-01-01"
31,3,"31","","GAJ - Świeradowska - Bardzka - Hubska - Gliniana - Borowska - Stawowa - Piłsudskiego - Legnicka - Pilczycka - Maślicka - Pilczycka - STADION WROCŁAW (KRÓLEWIECKA)|STADION WROCŁAW (KRÓLEWIECKA) - Maślicka - Pilczycka - Legnicka - Piłsudskiego - Borowska - Gliniana - Hubska - Bardzka - Świeradowska - GAJ",0,31,"2021-04-02","2999-01-01"
32,3,"32","","GAJ - Bardzka - Hubska - Gliniana - Borowska - Stawowa - Piłsudskiego - Legnicka - Pilczycka - Dokerska - KOZANÓW (DOKERSKA)|KOZANÓW (DOKERSKA) - Pilczycka - Legnicka - Piłsudskiego - Borowska - Gliniana - Hubska - Bardzka - Świeradowska - GAJ",0,31,"2021-04-02","2999-01-01"
33,3,"33","","PILCZYCE - Lotnicza - Legnicka - Kazimierza Wlk. - Oławska - pl. Powstańców Warszawy - pl. Grunwaldzki - Rondo Reagana - pl. Grunwaldzki - al. Kochanowskiego - al. Różyckiego - al. Paderewskiego - Mickiewicza - SĘPOLNO|SĘPOLNO - al. Paderewskiego - al. Różyckiego - al. Kochanowskiego - pl. Grunwaldzki - Rondo Reagana - pl. Grunwaldzki - pl. Powstańców Warszawy - Oławska - Kazimierza Wlk. - Legnicka - Lotnicza - PILCZYCE|SĘPOLNO - Mickiewicza - al. Paderewskiego - al. Różyckiego - al. Kochanowskiego - pl. Grunwaldzki - Rondo Reagana - pl. Grunwaldzki - pl. Powstańców Warszawy - Oławska - Kazimierza Wlk. - Legnicka - Lotnicza - PILCZYCE",0,31,"2021-04-02","2999-01-01"
70,3,"70","","PARK POŁUDNIOWY - Ślężna - Borowska - Peronowa - Małachowskiego - Pułaskiego - Traugutta - pl. Powstańców Warszawy - pl. Grunwaldzki - Rondo Reagana - Piastowska - Nowowiejska - Jedności Narodowej - Słowiańska - pl. Powstańców Wielkopolskich - pl. Staszica - Reymonta - Osobowicka - OSOBOWICE|OSOBOWICE - Reymonta - pl. Staszica - pl. Powstańców Wielkopolskich - Słowiańska - Jedności Narodowej - Nowowiejska - Piastowska - Rondo Reagana - pl. Grunwaldzki - pl. Powstańców Warszawy - Traugutta - Pułaskiego - Małachowskiego - Piłsudskiego - Peronowa - Borowska - Ślężna - PARK POŁUDNIOWY",0,33,"2021-04-02","2999-01-01"
74,3,"74","","KRZYKI - Karkonoska - Powstańców Śl. - al. Hallera - Grabiszyńska - Piłsudskiego - Podwale - Jagiełły - Dubois - Pomorska - Reymonta - Osobowicka - OSOBOWICE|OSOBOWICE - Reymonta - Pomorska - Dubois - Jagiełły - Podwale - Piłsudskiego - Grabiszyńska - al. Hallera - Powstańców Śl. - Karkonoska - KRZYKI|OSOBOWICE - Osobowicka - Reymonta - Pomorska - Dubois - Jagiełły - Podwale - Piłsudskiego - Grabiszyńska - al. Hallera - Powstańców Śl. - Karkonoska - KRZYKI",0,33,"2021-04-02","2999-01-01"
100,2,"100","","MOKRY DWÓR - Batorego - Starodworska - Księska - Opolska - Karwińska - Gazowa - Tarnogajska - Gazowa - Świeradowska - GAJ - PĘTLA|GAJ - PĘTLA - Morwowa - Gazowa - Opolska - Księska - Starodworska - Batorego - MOKRY DWÓR|GAJ - PĘTLA - Świeradowska - Morwowa - Gazowa - Opolska - Księska - Starodworska - Batorego - MOKRY DWÓR",3,30,"2020-08-29","2999-01-01"
101,2,"101","","LEŚNICA - Płońskiego - Trzmielowicka - Średzka - Jeleniogórska - Stabłowicka - Brodzka - Królewiecka - Pilczycka - Wejherowska - Legnicka - KWISKA|KWISKA - Pilczycka - Królewiecka - Brodzka - Stabłowicka - Jeleniogórska - Płońskiego - LEŚNICA|KWISKA - Legnicka - Pilczycka - Królewiecka - Brodzka - Stabłowicka - Jeleniogórska - Płońskiego - LEŚNICA",3,30,"2021-02-20","2999-01-01"
102,2,"102","","GRABOWA - Kosmonautów - Fieldorfa - Wojanowska - Jeleniogórska - Główna - Maślicka - Pilczycka - Legnicka - Zachodnia - Rybacka - Sokolnicza - PL. JANA PAWŁA II|PL. JANA PAWŁA II - Legnicka - Zachodnia - Legnicka - Pilczycka - Maślicka - Główna - Stabłowicka - Jeleniogórska - Wojanowska - Fieldorfa - Kosmonautów - GRABOWA",3,30,"2021-04-02","2999-01-01"
103,2,"103","","PRACZE ODRZAŃSKIE - Brodzka - Stabłowicka - Główna - Maślicka - Pilczycka - Popowicka - Gnieźnieńska - Ścinawska - Zachodnia - Rybacka - Sokolnicza - PL. JANA PAWŁA II|PL. JANA PAWŁA II - Legnicka - Zachodnia - Poznańska - Długa - Starogroblowa - Popowicka - Pilczycka - Maślicka - Główna - Stabłowicka - Brodzka - PRACZE ODRZAŃSKIE|PL. JANA PAWŁA II - Sokolnicza - Legnicka - Zachodnia - Poznańska - Długa - Starogroblowa - Popowicka - Pilczycka - Maślicka - Główna - Stabłowicka - Brodzka - PRACZE ODRZAŃSKIE",3,30,"2021-04-02","2999-01-01"
104,2,"104","","RĘDZIŃSKA - Rędzińska - Maślicka - Pilczycka - Kozanowska - Popowicka - Gnieźnieńska - Ścinawska - Zachodnia - Rybacka - Legnicka - PL. JANA PAWŁA II|PL. JANA PAWŁA II - Zachodnia - Poznańska - Długa - Starogroblowa - Popowicka - Kozanowska - Pilczycka - Maślicka - Rędzińska - RĘDZIŃSKA",3,30,"2021-04-02","2999-01-01"
105,2,"105","","ŚWINIARY - Zaziębie - Pęgowska - Zajączkowska - Pełczyńska - Obornicka - Broniewskiego - Kasprowicza - Berenta - al. M. Kromera - KROMERA|KROMERA - Boya-Żeleńskiego - Berenta - Kasprowicza - Broniewskiego - Obornicka - Pełczyńska - Zajączkowska - Pęgowska - Zaziębie - ŚWINIARY",3,30,"2021-04-02","2999-01-01"
106,2,"106","","PORT LOTNICZY - Graniczna - Skarżyńskiego - Graniczna - Strzegomska - Otyńska - Fabryczna - Robotnicza - Podwale - Dworcowa - DWORZEC GŁÓWNY (DWORCOWA)|DWORZEC GŁÓWNY (DWORCOWA) - Podwale - TAT - Robotnicza - Fabryczna - Strzegomska - Graniczna - Skarżyńskiego - Graniczna - PORT LOTNICZY",3,30,"2021-04-02","2999-01-01"
107,2,"107","","KRZYKI - Karkonoska - Krzycka - Wałbrzyska - Karmelkowa - Giełdowa - Karmelkowa - Solskiego - Grabiszyńska - Ostrowskiego - Krzemieniecka - Stanisławowska - Mińska - Strzegomska - Otyńska - Fabryczna - Śrubowa - Strzegomska - Poznańska - Zachodnia - Rybacka - PL. SOLIDARNOŚCI|PL. SOLIDARNOŚCI - Legnicka - TAT - Robotnicza - Fabryczna - Strzegomska - Mińska - Stanisławowska - Krzemieniecka - Ostrowskiego - Grabiszyńska - Solskiego - Karmelkowa - Giełdowa - Karmelkowa - Wałbrzyska - Krzycka - Karkonoska - KRZYKI|PL. SOLIDARNOŚCI - Rybacka - Legnicka - TAT - Robotnicza - Fabryczna - Strzegomska - Mińska - Stanisławowska - Krzemieniecka - Ostrowskiego - Grabiszyńska - Solskiego - Karmelkowa - Giełdowa - Karmelkowa - Wałbrzyska - Krzycka - Karkonoska - KRZYKI",3,30,"2021-03-20","2999-01-01"
108,2,"108","","PRACZE WIDAWSKIE - Zduńska - Kominiarska - Pełczyńska - Obornicka - Broniewskiego - Żmigrodzka - Trzebnicka - pl. Powstańców Wielkopolskich - DWORZEC NADODRZE|DWORZEC NADODRZE - Trzebnicka - Broniewskiego - Obornicka - Pełczyńska - Kominiarska - Zduńska - PRACZE WIDAWSKIE",3,30,"2021-03-27","2999-01-01"
109,2,"109","","JARNOŁTÓW - Jarnołtowska - Jerzmanowska - Żernicka - Zemska - Rogowska - Gubińska - Strzegomska - Otyńska - Fabryczna - Śrubowa - Strzegomska - Poznańska - Zachodnia - Rybacka - PL. SOLIDARNOŚCI|PL. SOLIDARNOŚCI - Legnicka - TAT - Robotnicza - Fabryczna - Strzegomska - Chociebuska - Rogowska - Żernicka - Jerzmanowska - Jarnołtowska - JARNOŁTÓW",3,30,"2021-03-20","2999-01-01"
110,2,"110","","IWINY - RONDO - Strzelińska - Buforowa - Bardzka - Hubska - Sucha - Peronowa - Kołłątaja - Słowackiego - GALERIA DOMINIKAŃSKA|GALERIA DOMINIKAŃSKA - Piotra Skargi - Kołłątaja - Peronowa - Sucha - Hubska - Bardzka - Buforowa - Strzelińska - IWINY - RONDO|GALERIA DOMINIKAŃSKA - Słowackiego - Piotra Skargi - Kołłątaja - Peronowa - Sucha - Hubska - Bardzka - Buforowa - Strzelińska - IWINY - RONDO",3,30,"2021-01-30","2999-01-01"
111,2,"111","","PL. GRUNWALDZKI - Piastowska - Sienkiewicza - Bema - Poniatowskiego - Jedności Narodowej - Słonimskiego - Zakładowa - Broniewskiego - Obornicka - Pełczyńska - Cynamonowa - Kminkowa - KMINKOWA|KMINKOWA - Cynamonowa - Pełczyńska - Obornicka - Broniewskiego - Żmigrodzka - Zakładowa - Jedności Narodowej - Poniatowskiego - Sienkiewicza - Wyszyńskiego - Szczytnicka - Piastowska - PL. GRUNWALDZKI|PL. GRUNWALDZKI - Sienkiewicza - Bema - Poniatowskiego - Jedności Narodowej - Słonimskiego - Zakładowa - Broniewskiego - Obornicka - Pełczyńska - Cynamonowa - Kminkowa - KMINKOWA",3,30,"2021-04-02","2999-01-01"
112,2,"112","","KRZYKI - Karkonoska - Waligórskiego - Wojszycka - Ołtaszyńska - Radosna - Chabrowa - Kutrzeby - Parafialna - Grota-Roweckiego - Borowska - Peronowa - DWORZEC GŁÓWNY|DWORZEC GŁÓWNY - Ślężna - Gliniana - Borowska - Grota-Roweckiego - Parafialna - Kutrzeby - Chabrowa - Radosna - Ołtaszyńska - Wojszycka - Waligórskiego - Karkonoska - KRZYKI",3,30,"2021-02-06","2999-01-01"
113,2,"113","","KRZYKI - Zwycięska - Strachowskiego - Kurpiów - Grota-Roweckiego - Borowska - Peronowa - DWORZEC GŁÓWNY|DWORZEC GŁÓWNY - Ślężna - Gliniana - Borowska - Grota-Roweckiego - Kurpiów - Strachowskiego - Zwycięska - Karkonoska - KRZYKI|DWORZEC GŁÓWNY - Peronowa - Ślężna - Gliniana - Borowska - Grota-Roweckiego - Kurpiów - Strachowskiego - Zwycięska - Karkonoska - KRZYKI",3,30,"2021-02-06","2999-01-01"
114,2,"114","","GALERIA DOMINIKAŃSKA - Słowackiego - Kościuszki - Krakowska - Karwińska - Mościckiego - Semaforowa - Centralna - Chińska - Mościckiego - Ziemniaczana - BIEŃKOWICE|BIEŃKOWICE - Mościckiego - Chińska - Mościckiego - Krakowska - Kościuszki - Komuny Paryskiej - Podwale - Słowackiego - GALERIA DOMINIKAŃSKA|BIEŃKOWICE - Ziemniaczana - Mościckiego - Chińska - Mościckiego - Krakowska - Kościuszki - Komuny Paryskiej - Podwale - Słowackiego - GALERIA DOMINIKAŃSKA",3,30,"2020-12-12","2999-01-01"
115,2,"115","","WOJNÓW (PĘTLA) - Strachocińska - Swojczycka - Mickiewicza - Skłodowskiej-Curie - pl. Grunwaldzki - Skłodowskiej-Curie - REJA|PL. GRUNWALDZKI - pl. Grunwaldzki - Skłodowskiej-Curie - Mickiewicza - Swojczycka - Strachocińska - WOJNÓW (PĘTLA)",3,30,"2021-03-29","2999-01-01"
116,2,"116 ","","SOŁTYSOWICE - Redycka - Sołtysowicka - Koszarowa - Przybyszewskiego - Berenta - Toruńska - Brücknera - Kochanowskiego - Norwida - pl. Grunwaldzki - PL. GRUNWALDZKI|PL. GRUNWALDZKI - Kochanowskiego - Toruńska - Boya-Żeleńskiego - Berenta - Kasprowicza - Czajkowskiego - Sołtysowicka - Redycka - SOŁTYSOWICE",3,30,"2021-04-02","2999-01-01"
117,11,"117","","RATYŃ - Gromadzka - Szkolna - Miodowa - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Miodowa - Szkolna - Gromadzka - RATYŃ|LEŚNICA - Płońskiego - Rubczaka - Trzmielowicka - Miodowa - Szkolna - Gromadzka - RATYŃ",3,30,"2021-03-27","2999-01-01"
118,2,"118","","SĘPOLNO - Mickiewicza - Swojczycka - Miłoszycka - Kowalska - Krzywoustego - Brücknera - Toruńska - Boya-Żeleńskiego - Berenta - Kasprowicza - Broniewskiego - Obornicka - Bezpieczna - Łużycka - Osobowicka - Krotoszyńska - Ślazowa - Lipska - Osobowicka - Wędkarzy - RĘDZIN|RĘDZIN - Osobowicka - Łużycka - Bezpieczna - Obornicka - Broniewskiego - Kasprowicza - Berenta - Toruńska - Brücknera - Kowalska - Miłoszycka - Swojczycka - Mickiewicza - SĘPOLNO",3,30,"2021-02-27","2999-01-01"
